State,No. of EV Manufacturers
Maharashtra,15
Tamil Nadu,11
Karnataka,6
Haryana,6
Gujarat,5
Delhi,4
Rajasthan,4
Telangana,3
West Bengal,3
Uttarakhand,2
Andhra Pradesh,1
Madhya Pradesh,1
Punjab,1
